#
# Name:          Unicode Corporate Use Subarea as used by Adobe Systems
# Table version: 1.2
# Date:          22 Oct 1998
#
# Description:
#
#   This document lists the Unicode values (UVs) in the Corporate Use subarea
#   (CUS) that are used by Adobe Systems.  Refer to the document "Unicode and
#   Glyph Names," at
#   http://www.adobe.com/supportservice/devrelations/typeforum/unicodegn.html
#   for a description of the use of the Corporate Use subarea and glyph naming
#   conventions.
#
#   323 total Unicode values (UVs) are used. 40 are identical to Apple's
#   assignments, and 283 have been assigned by Adobe.
#
# Format: Semicolon-delimited fields:
#
#   (1) The Corporate Use subarea UV (4 uppercase hexadecimal digits).
#
#   (2) [optional] The Adobe Glyph List glyph name (upper- and lowercase
#       letters, digits). If this field is empty, then this character is not
#       in the Adobe Glyph List, and its glyph name should be of the form
#       "uni<CODE>" where <CODE> is the value of field 1. For example, the
#       glyph name for U+F66D, LATIN SMALL CAPITAL LETTER A WITH BREVE, should
#       be "uniF66D".
#
#   (3) A descriptive character name, using the same conventions as in the
#       Unicode Standard version 2.1 (uppercase letters, hyphen, space).
#
#   (4) [optional] The character decomposition, using the same conventions
#       as in the Unicode Standard version 2.1. Not all of them are full
#       decompositions, but recursive application of look-up for
#       decompositions will lead to a maximal decomposition. All
#       decompositions comprise standard Unicode characters; i.e. no
#       decompositions refer to characters in the Private Use subarea.
#
#       Several additional compatibility formatting tags are defined to
#       better describe some character decompositions:
#
#          <cap>        An accent or punctuation mark designed for use with
#                       capital letters.
#          <denom>      A character designed for use in the denominator of a
#                       vulgar fraction.
#          <numer>      A character designed for use in the numerator of a
#                       vulgar fraction.
#          <osf>        An old style figure or a character designed for use
#                       with old style figures.
#          <sc>         A small capital or a character designed for use
#                       with small capitals.
#
#   (5) [optional] Comments.
#
#   The entries are in increasing UV order.
#
#   Lines starting with "#" are comments; blank lines should be ignored.
#
# Revision History:
#
#   1.2  [22 Oct 1998]
#        138 characters to be used by some OpenType fonts were added.
#        The glyph "dotlessj" was also added.
#        The <capacc> compatibility formatting tag was renamed to <cap>.
#        A few descriptive names were slightly changed for consistency.
#        A few decompositions were changed to refer only to standard UVs.
#        The ordering of the section numbers in the comments was reversed.
#
#   1.1  [24 Nov 1997]
#        The descriptive name for glyph "onefitted" was changed from
#        "TABULAR DIGIT ONE" to "PROPORTIONAL DIGIT ONE".
#
#   1.0  [17 Jul 1997]  Original version
#

# --------------------------------------------------------------------------
# 8.  Additional assignments to be used by some OpenType fonts.
#     [138 UVs]

F634;;CAPITAL COMMA BELOW;<cap> 0020 0326
F635;;SMALL CAPITAL COMMA BELOW;<sc> 0020 0326
F636;;MATHEMATICAL PI;<compat> 03D6
F637;;SUPERSCRIPT LATIN SMALL LETTER H;<super> 0068
F638;;TABULAR DIGIT ZERO WITH SLASH;<compat> 0030
F639;;PROPORTIONAL DIGIT ZERO;<compat> 0030
F63A;;PROPORTIONAL DIGIT TWO;<compat> 0032
F63B;;PROPORTIONAL DIGIT THREE;<compat> 0033
F63C;;PROPORTIONAL DIGIT FOUR;<compat> 0034
F63D;;PROPORTIONAL DIGIT FIVE;<compat> 0035
F63E;;PROPORTIONAL DIGIT SIX;<compat> 0036
F63F;;PROPORTIONAL DIGIT SEVEN;<compat> 0037
F640;;PROPORTIONAL DIGIT EIGHT;<compat> 0038
F641;;PROPORTIONAL DIGIT NINE;<compat> 0039
F642;;OLDSTYLE PERCENT SIGN;<osf> 0025
F643;;TABULAR OLDSTYLE DIGIT ZERO;<osf> 0030
F644;;TABULAR OLDSTYLE DIGIT ONE;<osf> 0031
F645;;TABULAR OLDSTYLE DIGIT TWO;<osf> 0032
F646;;TABULAR OLDSTYLE DIGIT THREE;<osf> 0033
F647;;TABULAR OLDSTYLE DIGIT FOUR;<osf> 0034
F648;;TABULAR OLDSTYLE DIGIT FIVE;<osf> 0035
F649;;TABULAR OLDSTYLE DIGIT SIX;<osf> 0036
F64A;;TABULAR OLDSTYLE DIGIT SEVEN;<osf> 0037
F64B;;TABULAR OLDSTYLE DIGIT EIGHT;<osf> 0038
F64C;;TABULAR OLDSTYLE DIGIT NINE;<osf> 0039
F64D;;TABULAR OLDSTYLE COLON SIGN;<osf> 20A1
F64E;;TABULAR OLDSTYLE EURO SIGN;<osf> 20AC
F64F;;TABULAR OLDSTYLE LATIN SMALL LETTER F WITH HOOK;<osf> 0192
F650;;TABULAR OLDSTYLE NUMBER SIGN;<osf> 0023
F651;;TABULAR OLDSTYLE POUND SIGN;<osf> 00A3
F652;;TABULAR OLDSTYLE YEN SIGN;<osf> 00A5
F653;;TABULAR OLDSTYLE DOLLAR SIGN;<osf> 0024
F654;;TABULAR OLDSTYLE CENT SIGN;<osf> 00A2
F655;;DENOMINATOR DIGIT ZERO;<denom> 0030
F656;;DENOMINATOR DIGIT ONE;<denom> 0031
F657;;DENOMINATOR DIGIT TWO;<denom> 0032
F658;;DENOMINATOR DIGIT THREE;<denom> 0033
F659;;DENOMINATOR DIGIT FOUR;<denom> 0034
F65A;;DENOMINATOR DIGIT FIVE;<denom> 0035
F65B;;DENOMINATOR DIGIT SIX;<denom> 0036
F65C;;DENOMINATOR DIGIT SEVEN;<denom> 0037
F65D;;DENOMINATOR DIGIT EIGHT;<denom> 0038
F65E;;DENOMINATOR DIGIT NINE;<denom> 0039
F65F;;DENOMINATOR COMMA;<denom> 002C
F660;;DENOMINATOR FULL STOP;<denom> 002E
F661;;NUMERATOR DIGIT ZERO;<numer> 0030
F662;;NUMERATOR DIGIT ONE;<numer> 0031
F663;;NUMERATOR DIGIT TWO;<numer> 0032
F664;;NUMERATOR DIGIT THREE;<numer> 0033
F665;;NUMERATOR DIGIT FOUR;<numer> 0034
F666;;NUMERATOR DIGIT FIVE;<numer> 0035
F667;;NUMERATOR DIGIT SIX;<numer> 0036
F668;;NUMERATOR DIGIT SEVEN;<numer> 0037
F669;;NUMERATOR DIGIT EIGHT;<numer> 0038
F66A;;NUMERATOR DIGIT NINE;<numer> 0039
F66B;;NUMERATOR COMMA;<numer> 002C
F66C;;NUMERATOR FULL STOP;<numer> 002E
F66D;;LATIN SMALL CAPITAL LETTER A WITH BREVE;<sc> 0103
F66E;;LATIN SMALL CAPITAL LETTER A WITH MACRON;<sc> 0101
F66F;;LATIN SMALL CAPITAL LETTER A WITH OGONEK;<sc> 0105
F670;;LATIN SMALL CAPITAL LETTER AE WITH ACUTE;<sc> 01FD
F671;;LATIN SMALL CAPITAL LETTER C WITH ACUTE;<sc> 0107
F672;;LATIN SMALL CAPITAL LETTER C WITH CARON;<sc> 010D
F673;;LATIN SMALL CAPITAL LETTER C WITH CIRCUMFLEX;<sc> 0109
F674;;LATIN SMALL CAPITAL LETTER C WITH DOT ABOVE;<sc> 010B
F675;;LATIN SMALL CAPITAL LETTER D WITH CARON;<sc> 010F
F676;;LATIN SMALL CAPITAL LETTER D WITH STROKE;<sc> 0111
F677;;LATIN SMALL CAPITAL LETTER E WITH BREVE;<sc> 0115
F678;;LATIN SMALL CAPITAL LETTER E WITH CARON;<sc> 011B
